model_version,experiment,in_region_mae,out_region_mae,gap
v1,zero_shot,0.026458294683328276,0.16572612197769998,0.1392678272943717
v1,finetune_7d,0.026458294683328276,0.14954042753659513,0.12308213285326686
v1,finetune_30d,0.026458294683328276,0.13248548446361588,0.1060271897802876
v1,finetune_90d,0.026458294683328276,0.10458647242714286,0.07812817774381459
v1,finetune_180d,0.026458294683328276,0.05503589186610631,0.028577597182778032
v2,zero_shot,0.02510883277690615,0.17142095660772974,0.1463121238308236
v2,finetune_7d,0.02510883277690615,0.16091182348714614,0.13580299071024
v2,finetune_30d,0.02510883277690615,0.14892918764650936,0.12382035486960322
v2,finetune_90d,0.02510883277690615,0.10885810222550714,0.08374926944860099
v2,finetune_180d,0.02510883277690615,0.05815381581582995,0.033044983038923795
